Age,JobLevel,DistanceFromHome,EducationField,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,Attrition_txt
31,1,29,Medical,Male,Laboratory Technician,2,Single,3479,0,11,3,6,2,5,4,1,4,1,Yes
32,1,7,Life Sciences,Male,Laboratory Technician,2,Married,2794,1,20,4,5,3,5,1,0,3,0,No
38,2,2,Life Sciences,Male,Sales Executive,4,Married,5249,3,18,3,13,0,8,7,7,5,0,No
32,2,2,Technical Degree,Male,Laboratory Technician,1,Single,2176,4,13,3,9,5,6,2,0,4,0,No
46,4,2,Technical Degree,Female,Manager,2,Married,16872,3,12,3,28,2,7,7,7,7,0,No
28,1,2,Life Sciences,Male,Laboratory Technician,3,Single,3485,2,11,3,5,5,0,0,0,0,1,Yes
29,2,2,Medical,Male,Sales Executive,2,Married,6644,2,19,3,10,2,0,0,0,0,0,No
31,2,23,Medical,Male,Healthcare Representative,4,Married,5582,0,21,4,10,2,9,0,7,8,0,No
25,2,5,Life Sciences,Male,Healthcare Representative,1,Divorced,4000,1,12,3,6,2,6,3,1,5,0,No
45,4,20,Medical,Male,Healthcare Representative,4,Married,13496,0,14,3,21,2,20,7,4,10,0,No
36,1,6,Life Sciences,Male,Laboratory Technician,4,Married,3210,0,11,3,16,4,15,13,10,11,0,No
55,5,1,Medical,Male,Manager,1,Single,19045,0,14,3,37,2,36,10,4,13,0,No
47,3,29,Life Sciences,Male,Manager,2,Married,11849,1,12,3,10,2,10,7,9,9,1,Yes
28,1,9,Medical,Male,Research Scientist,4,Married,2070,1,23,4,5,3,5,2,0,4,0,No
37,2,6,Medical,Male,Sales Executive,4,Married,6502,4,14,3,7,5,5,4,0,1,0,No
21,1,3,Medical,Male,Research Scientist,3,Single,3230,1,17,3,3,4,3,2,1,0,0,No
37,3,1,Medical,Female,Research Director,4,Divorced,13603,2,18,3,15,2,5,2,0,2,0,No
35,3,22,Life Sciences,Female,Manager,2,Divorced,11996,7,18,3,10,6,7,7,6,2,0,No
38,2,7,Medical,Female,Sales Executive,1,Divorced,5605,1,24,4,8,3,8,0,7,7,0,No
26,2,1,Life Sciences,Female,Manufacturing Director,2,Divorced,6397,1,20,4,6,6,6,5,1,4,0,No
50,5,4,Life Sciences,Male,Research Director,2,Divorced,19144,3,14,3,28,4,10,4,1,6,0,No
53,4,3,Medical,Male,Research Director,3,Married,17584,3,16,3,21,5,5,3,1,3,0,No
42,2,1,Life Sciences,Male,Sales Executive,3,Married,4907,1,25,4,20,3,20,16,11,6,0,No
29,2,2,Life Sciences,Male,Sales Executive,4,Single,4554,1,18,3,10,3,10,7,0,9,0,No
55,2,20,Technical Degree,Male,Laboratory Technician,4,Married,5415,3,19,3,12,4,10,7,0,8,0,No
26,2,11,Medical,Male,Healthcare Representative,1,Married,4741,1,13,3,5,3,5,3,3,3,0,No
37,1,1,Life Sciences,Female,Research Scientist,4,Single,2115,1,12,3,17,3,17,12,5,7,0,No
44,1,24,Life Sciences,Male,Laboratory Technician,3,Divorced,3161,3,22,4,19,0,1,0,0,0,1,Yes
38,2,23,Life Sciences,Male,Healthcare Representative,4,Divorced,5745,9,14,3,10,2,2,2,1,2,0,No
26,1,16,Medical,Male,Laboratory Technician,2,Divorced,2373,2,13,3,5,2,3,2,0,2,1,Yes
28,1,8,Life Sciences,Female,Research Scientist,4,Single,3310,1,21,4,5,3,5,3,0,2,0,No
49,5,10,Life Sciences,Female,Research Director,1,Single,18665,9,11,3,22,4,3,2,1,2,0,No
36,2,3,Technical Degree,Male,Research Scientist,2,Single,4485,4,12,3,10,2,8,0,7,7,0,No
31,1,5,Marketing,Female,Sales Representative,2,Divorced,2789,1,11,3,2,5,2,2,2,2,0,No
26,2,4,Marketing,Male,Sales Executive,4,Single,5828,1,12,3,8,0,8,7,7,4,1,Yes
37,1,9,Medical,Male,Research Scientist,4,Married,2326,1,12,3,4,3,4,2,1,2,0,No
42,4,26,Marketing,Female,Sales Executive,2,Married,13525,5,14,3,23,2,20,4,4,8,0,No
18,1,3,Life Sciences,Male,Laboratory Technician,3,Single,1420,1,13,3,0,2,0,0,0,0,1,Yes
35,3,16,Marketing,Male,Sales Executive,2,Married,8020,0,15,3,12,3,11,9,6,9,0,No
36,1,18,Life Sciences,Male,Laboratory Technician,4,Married,3688,4,18,3,4,2,1,0,0,0,0,No
51,2,2,Medical,Male,Manufacturing Director,2,Divorced,5482,5,18,3,13,3,4,1,1,2,0,No
41,4,2,Life Sciences,Male,Manager,2,Single,16015,1,19,3,22,2,22,10,0,4,0,No
18,1,10,Medical,Female,Sales Representative,3,Single,1200,1,12,3,0,2,0,0,0,0,0,No
28,2,16,Medical,Male,Healthcare Representative,1,Single,5661,0,19,3,9,2,8,3,0,7,0,No
31,2,7,Technical Degree,Male,Sales Executive,4,Married,6929,4,11,3,10,3,8,7,7,7,0,No
39,3,1,Medical,Male,Healthcare Representative,4,Divorced,9613,0,17,3,19,5,18,10,3,7,0,No
36,2,24,Life Sciences,Female,Laboratory Technician,2,Married,5674,7,15,3,11,3,9,8,0,8,0,No
32,2,7,Life Sciences,Male,Sales Executive,3,Married,5484,1,14,3,13,3,13,8,4,8,0,No
38,3,25,Life Sciences,Female,Research Director,2,Married,12061,3,17,3,19,2,10,8,0,1,0,No
58,2,1,Life Sciences,Male,Healthcare Representative,3,Divorced,5660,2,13,3,12,2,5,3,1,2,0,No
31,1,5,Technical Degree,Male,Research Scientist,4,Married,4821,0,12,3,6,4,5,2,0,3,0,No
31,2,2,Human Resources,Male,Human Resources,1,Married,6410,3,12,3,9,1,2,2,1,0,0,No
45,3,7,Life Sciences,Male,Laboratory Technician,1,Divorced,5210,1,18,3,24,2,24,9,9,11,0,No
31,1,2,Life Sciences,Male,Research Scientist,4,Divorced,2695,0,18,3,3,2,2,2,2,2,0,No
33,3,5,Life Sciences,Female,Manager,2,Married,11878,6,11,3,12,2,10,6,8,8,0,No
39,4,10,Medical,Male,Manager,1,Married,17068,1,14,3,21,3,21,9,11,10,0,No
43,1,10,Life Sciences,Female,Laboratory Technician,4,Single,2455,0,19,3,9,5,8,7,1,7,0,No
49,4,1,Technical Degree,Female,Healthcare Representative,3,Single,13964,7,12,3,25,2,7,1,0,7,0,No
52,2,8,Medical,Male,Research Scientist,2,Married,4941,2,15,3,11,3,8,2,7,7,1,Yes
27,1,5,Life Sciences,Female,Research Scientist,2,Single,2478,1,12,3,4,2,4,3,1,2,0,No
32,2,8,Technical Degree,Female,Sales Executive,2,Married,5228,1,11,3,13,2,13,12,11,9,0,No
27,2,2,Life Sciences,Male,Sales Executive,3,Single,4478,1,11,3,5,3,5,4,0,4,0,No
31,2,7,Marketing,Male,Sales Executive,4,Divorced,7547,4,12,3,13,3,7,7,1,7,0,No
32,2,2,Medical,Female,Research Scientist,4,Single,5055,7,16,3,10,0,7,7,0,7,0,No
28,1,2,Medical,Male,Research Scientist,4,Married,3464,5,13,3,5,4,3,2,2,2,1,Yes
30,2,28,Medical,Female,Research Scientist,4,Married,5775,1,13,3,11,2,10,8,1,9,0,No
31,3,7,Life Sciences,Female,Manufacturing Director,3,Married,8943,1,24,4,10,2,10,9,8,9,0,No
39,5,7,Medical,Male,Manager,4,Married,19272,1,15,3,21,2,21,9,13,3,0,No
39,2,3,Medical,Female,Sales Executive,3,Married,5238,4,18,3,12,3,1,0,0,0,1,Yes
33,2,10,Marketing,Male,Sales Executive,4,Single,4682,3,14,3,9,6,7,7,0,1,0,No
47,5,5,Life Sciences,Male,Research Director,3,Married,18300,4,11,3,21,2,3,2,1,1,0,No
43,2,10,Life Sciences,Female,Laboratory Technician,3,Divorced,5257,1,11,3,9,3,9,7,0,0,0,No
27,2,1,Marketing,Male,Sales Executive,2,Married,6349,0,13,3,6,0,5,4,1,4,0,No
54,2,20,Life Sciences,Female,Research Scientist,3,Single,4869,3,12,3,20,4,4,3,0,3,0,No
43,3,7,Life Sciences,Female,Healthcare Representative,1,Married,9985,8,16,3,10,1,1,0,0,0,0,No
45,2,8,Other,Male,Research Scientist,4,Married,3697,9,14,3,12,3,10,9,9,8,0,No
40,2,1,Medical,Male,Sales Executive,4,Married,7457,2,22,4,6,2,4,3,0,2,0,No
29,1,8,Other,Male,Laboratory Technician,1,Married,2119,1,11,3,7,4,7,7,0,7,1,Yes
29,1,9,Other,Male,Laboratory Technician,4,Single,3983,0,17,3,4,2,3,2,2,2,0,No
30,2,5,Marketing,Female,Sales Executive,3,Divorced,6118,1,13,3,10,2,10,9,1,2,0,No
27,2,8,Marketing,Female,Sales Executive,2,Married,6214,1,18,3,8,3,8,7,0,7,0,No
37,2,5,Medical,Male,Manufacturing Director,4,Divorced,6347,7,16,3,8,2,6,2,0,4,0,No
38,3,15,Life Sciences,Male,Research Director,4,Divorced,11510,0,14,3,12,3,11,10,2,9,0,No
31,3,7,Medical,Female,Manufacturing Director,4,Single,7143,1,14,3,11,2,11,9,4,10,0,No
29,2,10,Marketing,Female,Sales Executive,2,Divorced,8268,1,14,3,7,2,7,7,1,7,0,No
35,3,5,Technical Degree,Male,Manufacturing Director,2,Single,8095,0,13,3,17,5,16,6,0,13,0,No
23,1,26,Life Sciences,Male,Research Scientist,4,Divorced,2904,1,12,3,4,2,4,2,0,2,0,No
41,2,6,Medical,Male,Manufacturing Director,2,Single,6032,6,15,3,8,3,5,4,1,2,0,No
47,2,4,Medical,Male,Sales Representative,3,Single,2976,3,19,3,5,3,0,0,0,0,0,No
42,4,23,Life Sciences,Female,Research Director,4,Single,15992,2,14,3,16,2,1,0,0,0,0,No
29,2,2,Life Sciences,Male,Sales Executive,3,Married,4649,1,14,3,4,3,4,3,0,2,0,No
42,1,2,Technical Degree,Male,Human Resources,3,Divorced,2696,0,11,3,4,5,3,2,1,0,0,No
32,1,2,Medical,Female,Laboratory Technician,2,Married,2370,1,13,3,8,4,8,0,0,7,0,No
48,3,29,Medical,Female,Manager,3,Married,12504,3,21,4,15,3,0,0,0,0,0,No
37,2,6,Medical,Male,Research Scientist,1,Divorced,5974,4,13,3,13,2,7,7,6,7,0,No
30,2,25,Technical Degree,Female,Sales Executive,3,Married,4736,7,12,3,4,2,2,2,2,2,0,No
26,2,1,Life Sciences,Male,Sales Executive,3,Married,5296,1,17,3,8,3,8,7,7,7,0,No
42,2,2,Other,Male,Healthcare Representative,4,Single,6781,3,23,4,14,6,1,0,0,0,0,No
21,1,1,Technical Degree,Female,Sales Representative,2,Single,2174,1,11,3,3,3,3,2,1,2,1,Yes
36,2,1,Medical,Female,Sales Executive,4,Single,6653,4,15,3,7,6,1,0,0,0,0,No
36,3,3,Medical,Male,Sales Executive,4,Married,9699,4,11,3,16,2,13,9,1,12,0,No
57,2,1,Medical,Male,Healthcare Representative,3,Married,6755,2,11,3,15,2,3,2,1,2,0,No
40,1,10,Life Sciences,Female,Laboratory Technician,3,Married,2213,3,13,3,10,3,7,7,1,7,0,No
21,1,9,Medical,Male,Sales Representative,4,Single,2610,1,24,4,3,3,3,2,2,2,0,No
33,1,5,Marketing,Female,Sales Representative,3,Single,2851,1,13,3,1,2,1,0,0,0,1,Yes
37,1,10,Medical,Female,Laboratory Technician,1,Married,3452,6,20,4,17,3,5,4,0,3,0,No
46,2,7,Medical,Female,Manufacturing Director,3,Married,5258,2,14,3,7,2,1,0,0,0,0,No
41,2,4,Marketing,Male,Sales Executive,2,Single,9355,1,18,3,8,5,8,7,7,7,1,Yes
50,3,10,Technical Degree,Male,Healthcare Representative,4,Single,10496,6,15,3,20,2,4,3,1,3,0,No
40,2,22,Marketing,Male,Sales Executive,3,Married,6380,2,12,3,8,6,6,4,1,0,1,Yes
31,1,9,Life Sciences,Male,Research Scientist,2,Single,2657,0,16,3,3,5,2,2,2,2,0,No
21,1,12,Life Sciences,Female,Sales Representative,2,Single,2716,1,15,3,1,0,1,0,0,0,1,Yes
29,1,23,Life Sciences,Male,Research Scientist,4,Single,2201,9,16,3,6,4,3,2,1,2,0,No
35,2,9,Life Sciences,Male,Healthcare Representative,2,Single,6540,9,19,3,10,5,1,1,0,0,0,No
27,1,1,Medical,Male,Laboratory Technician,2,Divorced,3816,1,11,3,5,2,5,2,0,4,0,No
28,2,9,Life Sciences,Male,Sales Executive,4,Single,5253,1,16,3,7,1,7,5,0,7,0,No
49,3,7,Other,Male,Healthcare Representative,3,Single,10965,8,24,4,26,2,5,2,0,0,0,No
51,2,14,Life Sciences,Female,Sales Executive,4,Married,4936,4,11,3,18,2,7,7,0,7,0,No
36,1,2,Life Sciences,Female,Research Scientist,3,Married,2543,4,13,3,6,3,2,2,2,2,0,No
34,2,19,Marketing,Male,Sales Executive,4,Single,5304,8,13,3,9,3,5,2,0,4,1,Yes
55,4,2,Life Sciences,Female,Manager,4,Single,16659,2,13,3,30,2,5,4,1,2,0,No
24,2,10,Marketing,Female,Sales Executive,3,Divorced,4260,1,12,3,5,2,5,2,0,3,0,No
30,1,2,Technical Degree,Male,Sales Representative,2,Married,2476,1,18,3,1,3,1,0,0,0,0,No
26,1,3,Technical Degree,Male,Research Scientist,1,Single,3102,0,22,4,7,2,6,4,0,4,1,Yes
22,1,11,Medical,Female,Research Scientist,2,Married,2244,1,13,3,2,1,2,1,1,2,0,No
36,3,2,Medical,Male,Sales Executive,3,Married,7596,1,13,3,10,2,10,9,9,0,0,No
30,1,4,Technical Degree,Male,Research Scientist,4,Single,2285,9,23,4,3,4,1,0,0,0,1,Yes
37,1,14,Life Sciences,Female,Laboratory Technician,1,Divorced,3034,1,12,3,18,2,18,7,12,17,0,No
40,2,2,Marketing,Female,Sales Executive,2,Divorced,5715,7,12,3,8,5,5,4,1,3,0,No
42,1,1,Life Sciences,Female,Laboratory Technician,1,Divorced,2576,3,16,3,8,5,5,2,1,2,0,No
37,2,10,Life Sciences,Male,Manufacturing Director,2,Single,4197,2,12,3,18,2,1,0,0,1,0,No
43,4,12,Life Sciences,Male,Research Director,2,Divorced,14336,1,11,3,25,3,25,10,3,9,0,No
40,2,2,Medical,Female,Laboratory Technician,3,Married,3448,6,22,4,20,3,1,0,0,0,0,No
54,5,5,Medical,Male,Research Director,1,Married,19406,4,11,3,24,4,4,2,1,2,0,No
34,2,4,Marketing,Female,Sales Executive,3,Married,6538,9,15,3,6,3,3,2,1,2,0,No
31,2,7,Medical,Female,Manufacturing Director,1,Married,4306,1,12,3,13,5,13,10,3,12,0,No
43,1,21,Medical,Male,Laboratory Technician,4,Married,2258,7,20,4,8,1,3,2,1,2,0,No
43,2,8,Other,Female,Healthcare Representative,3,Divorced,4522,4,14,3,8,3,5,2,0,2,0,No
25,2,4,Life Sciences,Female,Sales Executive,4,Single,4487,1,11,3,5,3,5,4,1,3,0,No
37,2,25,Medical,Female,Research Scientist,3,Married,4449,3,15,3,15,2,13,11,10,7,0,No
31,1,1,Life Sciences,Male,Laboratory Technician,1,Married,2218,1,12,3,4,3,4,2,3,2,0,No
39,5,1,Life Sciences,Male,Manager,3,Divorced,19197,1,14,3,21,3,21,8,1,6,0,No
56,4,6,Life Sciences,Female,Sales Executive,1,Married,13212,9,11,3,36,0,7,7,7,7,0,No
30,2,12,Technical Degree,Female,Sales Executive,3,Single,6577,0,11,3,6,6,5,4,4,4,0,No
41,3,1,Marketing,Male,Sales Executive,1,Married,8392,1,16,3,10,2,10,7,0,7,0,No
28,2,17,Medical,Male,Laboratory Technician,1,Divorced,4558,1,12,3,10,2,10,0,1,8,0,No
25,1,3,Medical,Male,Laboratory Technician,1,Married,4031,5,13,3,6,5,2,2,0,2,1,Yes
52,3,3,Medical,Male,Manufacturing Director,3,Married,7969,2,14,3,28,4,5,4,0,4,0,No
45,1,10,Life Sciences,Male,Research Scientist,4,Married,2654,3,21,4,8,3,2,2,0,2,0,No
52,4,4,Life Sciences,Female,Manager,4,Married,16555,2,13,3,31,2,5,2,1,4,0,No
42,2,29,Life Sciences,Female,Research Scientist,3,Divorced,4556,2,11,3,19,3,5,4,0,2,0,No
30,2,2,Life Sciences,Female,Manufacturing Director,4,Single,6091,2,20,4,11,2,5,4,0,2,0,No
60,5,7,Life Sciences,Female,Manager,1,Married,19566,5,11,3,33,5,29,8,11,10,0,No
46,2,18,Medical,Female,Manufacturing Director,3,Divorced,4810,2,14,3,19,5,10,7,0,8,0,No
42,2,28,Technical Degree,Female,Healthcare Representative,4,Married,4523,0,11,3,7,4,6,5,0,4,0,No
24,1,1,Technical Degree,Female,Sales Representative,2,Single,3202,1,16,3,6,4,5,3,1,4,1,Yes
34,1,6,Marketing,Female,Sales Representative,3,Divorced,2351,0,16,3,3,3,2,2,1,0,1,Yes
38,1,2,Life Sciences,Male,Laboratory Technician,4,Married,1702,1,23,4,1,3,1,0,0,0,0,No
40,5,2,Life Sciences,Female,Manager,3,Married,18041,0,14,3,21,2,20,15,1,12,0,No
26,1,23,Life Sciences,Female,Research Scientist,4,Divorced,2886,1,22,4,3,3,3,2,0,2,0,No
30,1,3,Life Sciences,Male,Laboratory Technician,4,Married,2097,4,15,3,9,3,5,3,1,4,0,No
29,3,3,Medical,Male,Research Director,3,Married,11935,1,18,3,10,2,10,2,0,7,0,No
29,1,25,Technical Degree,Female,Research Scientist,2,Married,2546,5,16,3,6,2,2,2,1,1,1,Yes
19,1,2,Technical Degree,Male,Human Resources,4,Single,2564,1,12,3,1,3,1,0,0,0,1,Yes
30,3,22,Other,Female,Sales Executive,1,Married,8412,0,11,3,10,3,9,8,7,8,0,No
57,4,29,Marketing,Male,Manager,4,Divorced,14118,3,12,3,32,3,1,0,0,0,0,No
50,4,29,Life Sciences,Male,Manager,3,Married,17046,0,15,3,28,2,27,10,15,7,0,No
30,1,2,Medical,Female,Laboratory Technician,4,Single,2564,0,14,3,12,2,11,7,6,7,0,No
60,3,28,Marketing,Female,Sales Executive,1,Married,10266,4,19,3,22,5,18,13,13,11,0,No
47,2,2,Medical,Female,Manufacturing Director,4,Divorced,5070,5,13,3,20,2,5,0,0,4,0,No
46,4,2,Life Sciences,Male,Research Director,3,Married,17861,6,13,3,26,2,3,2,0,1,0,No
35,1,22,Life Sciences,Male,Laboratory Technician,3,Single,4230,0,15,3,6,2,5,4,4,3,0,No
54,2,8,Life Sciences,Female,Laboratory Technician,3,Single,3780,7,11,3,19,3,1,0,0,0,0,No
34,1,2,Life Sciences,Male,Research Scientist,3,Divorced,2768,3,12,3,14,3,7,3,5,7,0,No
46,3,10,Marketing,Female,Sales Executive,4,Married,9071,2,19,3,15,3,3,2,1,2,0,No
31,3,9,Life Sciences,Male,Manufacturing Director,2,Divorced,10648,1,25,4,13,6,13,8,0,8,0,No
33,3,15,Medical,Male,Manager,3,Married,13610,7,12,3,15,2,7,6,7,7,1,Yes
33,1,10,Medical,Male,Laboratory Technician,4,Divorced,3408,7,13,3,8,2,4,3,1,3,1,Yes
30,1,7,Marketing,Male,Sales Representative,2,Single,2983,0,14,3,4,3,3,2,1,2,0,No
35,3,16,Life Sciences,Male,Healthcare Representative,3,Married,7632,4,12,3,10,2,8,7,0,0,0,No
31,3,20,Life Sciences,Male,Healthcare Representative,3,Married,9824,3,12,3,12,2,1,0,0,0,1,Yes
34,3,23,Human Resources,Female,Human Resources,1,Divorced,9950,9,15,3,11,2,3,2,0,2,1,Yes
42,1,5,Other,Male,Laboratory Technician,3,Married,2093,4,17,3,8,4,2,2,2,0,0,No
36,3,10,Medical,Male,Sales Executive,4,Single,9980,1,14,3,10,3,10,3,9,7,0,No
22,1,4,Technical Degree,Male,Laboratory Technician,3,Single,3894,5,16,3,4,3,2,2,1,2,1,Yes
48,2,2,Marketing,Female,Sales Executive,4,Married,4051,2,14,3,14,2,9,7,6,7,0,No
55,4,18,Life Sciences,Female,Manager,2,Single,16835,3,23,4,37,2,10,9,7,7,0,No
41,2,10,Life Sciences,Male,Sales Executive,4,Single,6230,7,14,3,16,3,14,3,1,10,0,No
35,2,1,Marketing,Male,Sales Executive,3,Married,4717,9,11,3,15,2,11,9,6,9,0,No
40,4,6,Life Sciences,Female,Manufacturing Director,3,Single,13237,7,15,3,22,3,20,6,5,13,0,No
39,1,8,Life Sciences,Female,Laboratory Technician,3,Married,3755,1,11,3,8,3,8,3,0,7,0,No
31,2,2,Life Sciences,Male,Sales Executive,4,Single,6582,4,13,3,10,2,6,5,0,5,0,No
42,3,24,Medical,Male,Manufacturing Director,1,Married,7406,1,21,4,10,5,10,9,5,8,0,No
45,2,2,Other,Male,Sales Executive,2,Married,4805,0,19,3,9,3,8,7,3,7,0,No
26,1,17,Life Sciences,Female,Human Resources,3,Divorced,2741,0,11,3,8,2,7,7,1,0,1,Yes
29,2,19,Technical Degree,Male,Manufacturing Director,4,Divorced,4262,4,12,3,8,2,3,2,1,2,0,No
33,4,1,Medical,Female,Research Director,3,Divorced,16184,4,19,3,10,2,6,1,0,5,0,No
31,3,7,Life Sciences,Male,Manager,4,Divorced,11557,9,21,4,10,3,5,4,0,1,0,No
18,1,5,Marketing,Male,Sales Representative,2,Single,1878,1,14,3,0,3,0,0,0,0,1,Yes
40,3,28,Other,Male,Sales Executive,1,Divorced,10932,3,15,3,20,2,1,0,0,1,0,No
41,2,2,Other,Female,Healthcare Representative,3,Single,6811,2,17,3,10,3,8,7,0,7,0,No
26,2,29,Medical,Male,Sales Executive,3,Divorced,4306,5,12,3,8,5,0,0,0,0,0,No
35,2,1,Medical,Female,Sales Executive,3,Single,4859,1,16,3,5,3,5,4,0,3,0,No
34,2,21,Life Sciences,Male,Sales Executive,4,Single,5337,1,12,3,10,3,10,7,5,7,0,No
26,1,24,Technical Degree,Male,Laboratory Technician,4,Single,2340,1,18,3,1,3,1,0,0,0,1,Yes
37,3,1,Technical Degree,Female,Manufacturing Director,4,Single,7491,4,17,3,12,3,6,5,1,2,0,No
46,3,18,Medical,Female,Healthcare Representative,3,Married,10527,5,11,3,28,3,2,2,1,2,0,No
41,4,2,Life Sciences,Female,Manager,1,Married,16595,7,16,3,22,2,18,16,11,8,0,No
37,3,9,Medical,Male,Sales Executive,2,Divorced,8834,1,13,3,9,6,9,5,7,7,0,No
52,2,6,Technical Degree,Male,Research Scientist,1,Divorced,5577,3,12,3,18,3,10,9,6,9,0,No
32,2,11,Other,Male,Sales Executive,3,Married,4707,8,12,3,6,2,4,2,1,2,1,Yes
24,1,24,Medical,Male,Sales Representative,4,Married,2400,0,13,3,3,3,2,2,2,1,0,No
38,2,10,Medical,Female,Healthcare Representative,3,Married,9824,3,19,3,18,4,1,0,0,0,0,No
37,2,1,Life Sciences,Female,Manufacturing Director,2,Married,6447,6,12,3,8,2,6,5,4,3,0,No
49,5,18,Life Sciences,Male,Research Director,3,Divorced,19502,1,17,3,31,5,31,9,0,9,0,No
24,1,23,Medical,Male,Research Scientist,4,Married,2725,1,11,3,6,3,6,5,1,4,0,No
26,2,28,Marketing,Male,Sales Executive,2,Married,6272,1,20,4,6,5,5,3,1,4,0,No
24,1,17,Other,Male,Laboratory Technician,2,Married,2127,1,21,4,1,2,1,0,0,0,0,No
50,5,3,Medical,Male,Manager,2,Married,18200,1,11,3,32,2,32,5,10,7,0,No
25,1,13,Medical,Male,Sales Representative,3,Married,2096,1,11,3,7,1,7,4,0,6,0,No
24,1,7,Life Sciences,Female,Laboratory Technician,3,Married,2886,1,16,3,6,4,6,3,1,2,1,Yes
30,1,12,Life Sciences,Male,Sales Representative,1,Married,2033,1,18,3,1,2,1,0,0,0,1,Yes
34,1,1,Life Sciences,Male,Research Scientist,4,Married,3622,1,13,3,6,3,6,5,1,3,0,No
31,2,13,Medical,Male,Sales Executive,1,Divorced,4233,2,17,3,9,2,3,1,1,2,1,Yes
35,2,25,Other,Male,Laboratory Technician,4,Single,3681,4,14,3,9,3,3,2,0,2,0,No
31,2,6,Medical,Male,Sales Executive,4,Divorced,5460,4,22,4,13,4,7,7,5,7,0,No
27,1,6,Medical,Female,Research Scientist,3,Divorced,2187,0,12,3,6,5,5,3,0,3,0,No
37,2,2,Marketing,Male,Sales Executive,3,Married,9602,4,11,3,17,3,3,0,1,0,0,No
20,1,1,Life Sciences,Female,Research Scientist,2,Single,2836,1,13,3,1,0,1,0,0,0,0,No
42,2,2,Life Sciences,Female,Healthcare Representative,4,Married,4089,1,13,3,10,4,10,2,2,2,0,No
43,4,6,Other,Male,Research Director,4,Divorced,16627,4,14,3,21,3,1,0,0,0,0,No
38,1,1,Life Sciences,Female,Research Scientist,1,Single,2619,3,17,3,8,3,0,0,0,0,0,No
43,2,9,Medical,Male,Laboratory Technician,3,Divorced,5679,3,13,3,10,3,8,7,4,7,0,No
48,4,1,Life Sciences,Female,Manager,1,Married,15402,7,11,3,21,3,3,2,0,2,0,No
44,2,1,Life Sciences,Female,Human Resources,3,Single,5985,4,11,3,10,1,2,2,0,2,0,No
34,1,14,Technical Degree,Female,Sales Representative,3,Divorced,2579,1,18,3,8,3,8,2,0,6,0,No
27,1,2,Marketing,Male,Sales Representative,1,Divorced,3041,0,11,3,5,3,4,3,0,2,1,Yes
21,1,22,Technical Degree,Male,Sales Representative,3,Single,3447,1,11,3,3,2,3,2,1,2,0,No
44,5,3,Other,Male,Manager,4,Married,19513,4,12,3,26,2,2,2,0,1,0,No
22,1,6,Medical,Male,Research Scientist,3,Married,2773,0,20,4,3,3,2,2,2,2,0,No
33,2,8,Marketing,Male,Sales Executive,3,Divorced,7104,0,12,3,6,3,5,0,1,2,0,No
32,2,9,Life Sciences,Female,Research Scientist,4,Married,6322,1,12,3,6,2,6,4,0,5,0,No
30,1,3,Medical,Female,Research Scientist,3,Divorced,2083,1,20,4,1,2,1,0,0,0,0,No
53,2,1,Medical,Female,Sales Executive,1,Single,8381,7,20,4,18,2,14,7,8,10,0,No
34,1,1,Life Sciences,Male,Research Scientist,4,Married,2691,1,12,3,10,4,10,9,8,8,0,No
45,2,26,Life Sciences,Female,Sales Executive,1,Married,4286,2,14,3,5,4,1,1,0,0,1,Yes
26,1,6,Life Sciences,Female,Laboratory Technician,4,Married,2659,1,13,3,3,2,3,2,0,2,0,No
37,3,3,Other,Male,Manufacturing Director,3,Married,9434,1,15,3,10,2,10,7,7,8,0,No
29,2,3,Medical,Female,Sales Executive,3,Married,5561,1,14,3,6,5,6,0,1,2,0,No
35,2,6,Life Sciences,Male,Research Scientist,4,Single,6646,1,13,3,17,3,17,11,11,8,0,No
33,2,6,Life Sciences,Male,Healthcare Representative,4,Divorced,7725,3,23,4,15,2,13,11,4,7,0,No
54,3,19,Medical,Male,Human Resources,2,Married,10725,2,15,3,16,1,9,7,7,1,0,No
36,2,9,Medical,Male,Manufacturing Director,2,Divorced,8847,2,11,3,13,2,3,2,0,2,0,No
27,1,3,Medical,Male,Research Scientist,4,Single,2045,0,13,3,5,0,4,2,1,1,0,No
20,1,10,Medical,Male,Research Scientist,3,Single,1009,1,11,3,1,5,1,0,1,1,1,Yes
33,1,3,Life Sciences,Male,Research Scientist,1,Single,3348,1,11,3,10,3,10,8,9,7,1,Yes
35,1,3,Life Sciences,Male,Laboratory Technician,3,Married,1281,1,18,3,1,3,1,0,0,0,0,No
23,1,4,Medical,Male,Research Scientist,1,Married,2819,2,16,3,5,3,3,2,0,2,0,No
25,2,8,Life Sciences,Male,Sales Executive,2,Married,4851,0,22,4,4,4,3,2,1,2,0,No
38,2,7,Marketing,Female,Sales Executive,4,Single,4028,0,20,4,8,2,7,7,0,5,0,No
29,1,1,Life Sciences,Male,Research Scientist,4,Divorced,2720,1,18,3,10,5,10,7,2,8,0,No
48,2,2,Marketing,Male,Sales Executive,2,Married,8120,3,12,3,12,3,2,2,2,2,0,No
